system_id,model_id,judge_id,coverage,bad_label_mode,false_accept_rate,event_false_accept_rate,accepted_count,accepted_bad_count,accepted_event_bad_count,event_precision,event_recall,event_bad_rate
cstr,mlp_state_space,conservative_low_coverage_judge,0.1,bad_event,0.0,0.0,70,0,0,0.0,0.0,0.0
cstr,mlp_state_space,conservative_low_coverage_judge,0.1,bad_rmse_or_event,0.7571428571428571,0.0,70,53,0,0.0,0.0,0.0
two_tank,hold_last,best_single_signal_selected_on_calibration,0.05,bad_rmse,0.92,0.0,25,23,0,0.0,0.0,0.0
two_tank,hold_last,best_single_signal_selected_on_calibration,0.05,bad_event,0.0,0.0,25,0,0,0.0,0.0,0.0
two_tank,hold_last,best_single_signal_selected_on_calibration,0.05,bad_rmse_or_event,0.92,0.0,25,23,0,0.0,0.0,0.0
two_tank,hold_last,best_single_signal_selected_on_calibration,0.1,bad_rmse,0.96,0.0,50,48,0,0.0,0.0,0.0
two_tank,hold_last,best_single_signal_selected_on_calibration,0.1,bad_event,0.0,0.0,50,0,0,0.0,0.0,0.0
two_tank,hold_last,best_single_signal_selected_on_calibration,0.1,bad_rmse_or_event,0.96,0.0,50,48,0,0.0,0.0,0.0
two_tank,hold_last,calibration_selected_candidate_ranker,0.05,bad_rmse,0.4,0.0,25,10,0,0.0,0.0,0.0
two_tank,hold_last,calibration_selected_candidate_ranker,0.05,bad_event,0.0,0.0,25,0,0,0.0,0.0,0.0
two_tank,hold_last,calibration_selected_candidate_ranker,0.05,bad_rmse_or_event,0.4,0.0,25,10,0,0.0,0.0,0.0
two_tank,hold_last,calibration_selected_candidate_ranker,0.1,bad_rmse,0.46,0.0,50,23,0,0.0,0.0,0.0
two_tank,hold_last,calibration_selected_candidate_ranker,0.1,bad_event,0.0,0.0,50,0,0,0.0,0.0,0.0
two_tank,hold_last,calibration_selected_candidate_ranker,0.1,bad_rmse_or_event,0.46,0.0,50,23,0,0.0,0.0,0.0
two_tank,hold_last,rank_normalized_linear,0.05,bad_rmse,0.6,0.0,25,15,0,0.0,0.0,0.0
two_tank,hold_last,rank_normalized_linear,0.05,bad_event,0.0,0.0,25,0,0,0.0,0.0,0.0
two_tank,hold_last,rank_normalized_linear,0.05,bad_rmse_or_event,0.6,0.0,25,15,0,0.0,0.0,0.0
two_tank,hold_last,rank_normalized_linear,0.1,bad_rmse,0.72,0.0,50,36,0,0.0,0.0,0.0
two_tank,hold_last,rank_normalized_linear,0.1,bad_event,0.0,0.0,50,0,0,0.0,0.0,0.0
two_tank,hold_last,rank_normalized_linear,0.1,bad_rmse_or_event,0.72,0.0,50,36,0,0.0,0.0,0.0
two_tank,hold_last,logistic_calibrated_judge,0.05,bad_rmse,0.52,0.0,25,13,0,0.0,0.0,0.0
two_tank,hold_last,logistic_calibrated_judge,0.05,bad_event,0.0,0.0,25,0,0,0.0,0.0,0.0
two_tank,hold_last,logistic_calibrated_judge,0.05,bad_rmse_or_event,0.52,0.0,25,13,0,0.0,0.0,0.0
two_tank,hold_last,logistic_calibrated_judge,0.1,bad_rmse,0.58,0.0,50,29,0,0.0,0.0,0.0
two_tank,hold_last,logistic_calibrated_judge,0.1,bad_event,0.0,0.0,50,0,0,0.0,0.0,0.0
two_tank,hold_last,logistic_calibrated_judge,0.1,bad_rmse_or_event,0.58,0.0,50,29,0,0.0,0.0,0.0
two_tank,hold_last,isotonic_calibrated_judge,0.05,bad_rmse,0.96,0.0,25,24,0,0.0,0.0,0.0
two_tank,hold_last,isotonic_calibrated_judge,0.05,bad_event,0.0,0.0,25,0,0,0.0,0.0,0.0
two_tank,hold_last,isotonic_calibrated_judge,0.05,bad_rmse_or_event,0.96,0.0,25,24,0,0.0,0.0,0.0
two_tank,hold_last,isotonic_calibrated_judge,0.1,bad_rmse,0.94,0.0,50,47,0,0.0,0.0,0.0
two_tank,hold_last,isotonic_calibrated_judge,0.1,bad_event,0.0,0.0,50,0,0,0.0,0.0,0.0
two_tank,hold_last,isotonic_calibrated_judge,0.1,bad_rmse_or_event,0.94,0.0,50,47,0,0.0,0.0,0.0
two_tank,hold_last,quantile_rule_judge,0.05,bad_rmse,0.92,0.0,25,23,0,0.0,0.0,0.0
two_tank,hold_last,quantile_rule_judge,0.05,bad_event,0.0,0.0,25,0,0,0.0,0.0,0.0
two_tank,hold_last,quantile_rule_judge,0.05,bad_rmse_or_event,0.92,0.0,25,23,0,0.0,0.0,0.0
two_tank,hold_last,quantile_rule_judge,0.1,bad_rmse,0.96,0.0,50,48,0,0.0,0.0,0.0
two_tank,hold_last,quantile_rule_judge,0.1,bad_event,0.0,0.0,50,0,0,0.0,0.0,0.0
two_tank,hold_last,quantile_rule_judge,0.1,bad_rmse_or_event,0.96,0.0,50,48,0,0.0,0.0,0.0
two_tank,hold_last,conservative_low_coverage_judge,0.05,bad_rmse,0.56,0.0,25,14,0,0.0,0.0,0.0
two_tank,hold_last,conservative_low_coverage_judge,0.05,bad_event,0.0,0.0,25,0,0,0.0,0.0,0.0
two_tank,hold_last,conservative_low_coverage_judge,0.05,bad_rmse_or_event,0.56,0.0,25,14,0,0.0,0.0,0.0
two_tank,hold_last,conservative_low_coverage_judge,0.1,bad_rmse,0.66,0.0,50,33,0,0.0,0.0,0.0
two_tank,hold_last,conservative_low_coverage_judge,0.1,bad_event,0.0,0.0,50,0,0,0.0,0.0,0.0
two_tank,hold_last,conservative_low_coverage_judge,0.1,bad_rmse_or_event,0.66,0.0,50,33,0,0.0,0.0,0.0
two_tank,linear_narx,best_single_signal_selected_on_calibration,0.05,bad_rmse,0.4,0.0,25,10,0,0.0,0.0,0.0
two_tank,linear_narx,best_single_signal_selected_on_calibration,0.05,bad_event,0.0,0.0,25,0,0,0.0,0.0,0.0
two_tank,linear_narx,best_single_signal_selected_on_calibration,0.05,bad_rmse_or_event,0.4,0.0,25,10,0,0.0,0.0,0.0
two_tank,linear_narx,best_single_signal_selected_on_calibration,0.1,bad_rmse,0.4,0.0,50,20,0,0.0,0.0,0.0
two_tank,linear_narx,best_single_signal_selected_on_calibration,0.1,bad_event,0.0,0.0,50,0,0,0.0,0.0,0.0
two_tank,linear_narx,best_single_signal_selected_on_calibration,0.1,bad_rmse_or_event,0.4,0.0,50,20,0,0.0,0.0,0.0
two_tank,linear_narx,calibration_selected_candidate_ranker,0.05,bad_rmse,0.4,0.0,25,10,0,0.0,0.0,0.0
two_tank,linear_narx,calibration_selected_candidate_ranker,0.05,bad_event,0.0,0.0,25,0,0,0.0,0.0,0.0
two_tank,linear_narx,calibration_selected_candidate_ranker,0.05,bad_rmse_or_event,0.4,0.0,25,10,0,0.0,0.0,0.0
two_tank,linear_narx,calibration_selected_candidate_ranker,0.1,bad_rmse,0.4,0.0,50,20,0,0.0,0.0,0.0
two_tank,linear_narx,calibration_selected_candidate_ranker,0.1,bad_event,0.0,0.0,50,0,0,0.0,0.0,0.0
two_tank,linear_narx,calibration_selected_candidate_ranker,0.1,bad_rmse_or_event,0.4,0.0,50,20,0,0.0,0.0,0.0
two_tank,linear_narx,rank_normalized_linear,0.05,bad_rmse,0.4,0.0,25,10,0,0.0,0.0,0.0
two_tank,linear_narx,rank_normalized_linear,0.05,bad_event,0.0,0.0,25,0,0,0.0,0.0,0.0
two_tank,linear_narx,rank_normalized_linear,0.05,bad_rmse_or_event,0.4,0.0,25,10,0,0.0,0.0,0.0
two_tank,linear_narx,rank_normalized_linear,0.1,bad_rmse,0.4,0.0,50,20,0,0.0,0.0,0.0
two_tank,linear_narx,rank_normalized_linear,0.1,bad_event,0.0,0.0,50,0,0,0.0,0.0,0.0
two_tank,linear_narx,rank_normalized_linear,0.1,bad_rmse_or_event,0.4,0.0,50,20,0,0.0,0.0,0.0
two_tank,linear_narx,logistic_calibrated_judge,0.05,bad_rmse,0.4,0.0,25,10,0,0.0,0.0,0.0
two_tank,linear_narx,logistic_calibrated_judge,0.05,bad_event,0.0,0.0,25,0,0,0.0,0.0,0.0
two_tank,linear_narx,logistic_calibrated_judge,0.05,bad_rmse_or_event,0.4,0.0,25,10,0,0.0,0.0,0.0
two_tank,linear_narx,logistic_calibrated_judge,0.1,bad_rmse,0.4,0.0,50,20,0,0.0,0.0,0.0
two_tank,linear_narx,logistic_calibrated_judge,0.1,bad_event,0.0,0.0,50,0,0,0.0,0.0,0.0
two_tank,linear_narx,logistic_calibrated_judge,0.1,bad_rmse_or_event,0.4,0.0,50,20,0,0.0,0.0,0.0
two_tank,linear_narx,isotonic_calibrated_judge,0.05,bad_rmse,0.4,0.0,25,10,0,0.0,0.0,0.0
two_tank,linear_narx,isotonic_calibrated_judge,0.05,bad_event,0.0,0.0,25,0,0,0.0,0.0,0.0
two_tank,linear_narx,isotonic_calibrated_judge,0.05,bad_rmse_or_event,0.4,0.0,25,10,0,0.0,0.0,0.0
two_tank,linear_narx,isotonic_calibrated_judge,0.1,bad_rmse,0.4,0.0,50,20,0,0.0,0.0,0.0
two_tank,linear_narx,isotonic_calibrated_judge,0.1,bad_event,0.0,0.0,50,0,0,0.0,0.0,0.0
two_tank,linear_narx,isotonic_calibrated_judge,0.1,bad_rmse_or_event,0.4,0.0,50,20,0,0.0,0.0,0.0
two_tank,linear_narx,quantile_rule_judge,0.05,bad_rmse,0.4,0.0,25,10,0,0.0,0.0,0.0
two_tank,linear_narx,quantile_rule_judge,0.05,bad_event,0.0,0.0,25,0,0,0.0,0.0,0.0
two_tank,linear_narx,quantile_rule_judge,0.05,bad_rmse_or_event,0.4,0.0,25,10,0,0.0,0.0,0.0
two_tank,linear_narx,quantile_rule_judge,0.1,bad_rmse,0.4,0.0,50,20,0,0.0,0.0,0.0
two_tank,linear_narx,quantile_rule_judge,0.1,bad_event,0.0,0.0,50,0,0,0.0,0.0,0.0
two_tank,linear_narx,quantile_rule_judge,0.1,bad_rmse_or_event,0.4,0.0,50,20,0,0.0,0.0,0.0
two_tank,linear_narx,conservative_low_coverage_judge,0.05,bad_rmse,0.4,0.0,25,10,0,0.0,0.0,0.0
two_tank,linear_narx,conservative_low_coverage_judge,0.05,bad_event,0.0,0.0,25,0,0,0.0,0.0,0.0
two_tank,linear_narx,conservative_low_coverage_judge,0.05,bad_rmse_or_event,0.4,0.0,25,10,0,0.0,0.0,0.0
two_tank,linear_narx,conservative_low_coverage_judge,0.1,bad_rmse,0.4,0.0,50,20,0,0.0,0.0,0.0
two_tank,linear_narx,conservative_low_coverage_judge,0.1,bad_event,0.0,0.0,50,0,0,0.0,0.0,0.0
two_tank,linear_narx,conservative_low_coverage_judge,0.1,bad_rmse_or_event,0.4,0.0,50,20,0,0.0,0.0,0.0
two_tank,mlp_state_space,best_single_signal_selected_on_calibration,0.05,bad_rmse,0.6,0.0,25,15,0,0.0,0.0,0.0
two_tank,mlp_state_space,best_single_signal_selected_on_calibration,0.05,bad_event,0.0,0.0,25,0,0,0.0,0.0,0.0
two_tank,mlp_state_space,best_single_signal_selected_on_calibration,0.05,bad_rmse_or_event,0.6,0.0,25,15,0,0.0,0.0,0.0
two_tank,mlp_state_space,best_single_signal_selected_on_calibration,0.1,bad_rmse,0.6,0.0,50,30,0,0.0,0.0,0.0
two_tank,mlp_state_space,best_single_signal_selected_on_calibration,0.1,bad_event,0.0,0.0,50,0,0,0.0,0.0,0.0
two_tank,mlp_state_space,best_single_signal_selected_on_calibration,0.1,bad_rmse_or_event,0.6,0.0,50,30,0,0.0,0.0,0.0
two_tank,mlp_state_space,calibration_selected_candidate_ranker,0.05,bad_rmse,0.6,0.0,25,15,0,0.0,0.0,0.0
two_tank,mlp_state_space,calibration_selected_candidate_ranker,0.05,bad_event,0.0,0.0,25,0,0,0.0,0.0,0.0
two_tank,mlp_state_space,calibration_selected_candidate_ranker,0.05,bad_rmse_or_event,0.6,0.0,25,15,0,0.0,0.0,0.0
two_tank,mlp_state_space,calibration_selected_candidate_ranker,0.1,bad_rmse,0.6,0.0,50,30,0,0.0,0.0,0.0
two_tank,mlp_state_space,calibration_selected_candidate_ranker,0.1,bad_event,0.0,0.0,50,0,0,0.0,0.0,0.0
two_tank,mlp_state_space,calibration_selected_candidate_ranker,0.1,bad_rmse_or_event,0.6,0.0,50,30,0,0.0,0.0,0.0
two_tank,mlp_state_space,rank_normalized_linear,0.05,bad_rmse,0.6,0.0,25,15,0,0.0,0.0,0.0
two_tank,mlp_state_space,rank_normalized_linear,0.05,bad_event,0.0,0.0,25,0,0,0.0,0.0,0.0
two_tank,mlp_state_space,rank_normalized_linear,0.05,bad_rmse_or_event,0.6,0.0,25,15,0,0.0,0.0,0.0
two_tank,mlp_state_space,rank_normalized_linear,0.1,bad_rmse,0.6,0.0,50,30,0,0.0,0.0,0.0
two_tank,mlp_state_space,rank_normalized_linear,0.1,bad_event,0.0,0.0,50,0,0,0.0,0.0,0.0
two_tank,mlp_state_space,rank_normalized_linear,0.1,bad_rmse_or_event,0.6,0.0,50,30,0,0.0,0.0,0.0
two_tank,mlp_state_space,logistic_calibrated_judge,0.05,bad_rmse,0.6,0.0,25,15,0,0.0,0.0,0.0
two_tank,mlp_state_space,logistic_calibrated_judge,0.05,bad_event,0.0,0.0,25,0,0,0.0,0.0,0.0
two_tank,mlp_state_space,logistic_calibrated_judge,0.05,bad_rmse_or_event,0.6,0.0,25,15,0,0.0,0.0,0.0
two_tank,mlp_state_space,logistic_calibrated_judge,0.1,bad_rmse,0.6,0.0,50,30,0,0.0,0.0,0.0
two_tank,mlp_state_space,logistic_calibrated_judge,0.1,bad_event,0.0,0.0,50,0,0,0.0,0.0,0.0
two_tank,mlp_state_space,logistic_calibrated_judge,0.1,bad_rmse_or_event,0.6,0.0,50,30,0,0.0,0.0,0.0
two_tank,mlp_state_space,isotonic_calibrated_judge,0.05,bad_rmse,0.6,0.0,25,15,0,0.0,0.0,0.0
two_tank,mlp_state_space,isotonic_calibrated_judge,0.05,bad_event,0.0,0.0,25,0,0,0.0,0.0,0.0
two_tank,mlp_state_space,isotonic_calibrated_judge,0.05,bad_rmse_or_event,0.6,0.0,25,15,0,0.0,0.0,0.0
two_tank,mlp_state_space,isotonic_calibrated_judge,0.1,bad_rmse,0.6,0.0,50,30,0,0.0,0.0,0.0
two_tank,mlp_state_space,isotonic_calibrated_judge,0.1,bad_event,0.0,0.0,50,0,0,0.0,0.0,0.0
two_tank,mlp_state_space,isotonic_calibrated_judge,0.1,bad_rmse_or_event,0.6,0.0,50,30,0,0.0,0.0,0.0
two_tank,mlp_state_space,quantile_rule_judge,0.05,bad_rmse,0.6,0.0,25,15,0,0.0,0.0,0.0
two_tank,mlp_state_space,quantile_rule_judge,0.05,bad_event,0.0,0.0,25,0,0,0.0,0.0,0.0
two_tank,mlp_state_space,quantile_rule_judge,0.05,bad_rmse_or_event,0.6,0.0,25,15,0,0.0,0.0,0.0
two_tank,mlp_state_space,quantile_rule_judge,0.1,bad_rmse,0.6,0.0,50,30,0,0.0,0.0,0.0
two_tank,mlp_state_space,quantile_rule_judge,0.1,bad_event,0.0,0.0,50,0,0,0.0,0.0,0.0
two_tank,mlp_state_space,quantile_rule_judge,0.1,bad_rmse_or_event,0.6,0.0,50,30,0,0.0,0.0,0.0
two_tank,mlp_state_space,conservative_low_coverage_judge,0.05,bad_rmse,0.6,0.0,25,15,0,0.0,0.0,0.0
two_tank,mlp_state_space,conservative_low_coverage_judge,0.05,bad_event,0.0,0.0,25,0,0,0.0,0.0,0.0
two_tank,mlp_state_space,conservative_low_coverage_judge,0.05,bad_rmse_or_event,0.6,0.0,25,15,0,0.0,0.0,0.0
two_tank,mlp_state_space,conservative_low_coverage_judge,0.1,bad_rmse,0.6,0.0,50,30,0,0.0,0.0,0.0
two_tank,mlp_state_space,conservative_low_coverage_judge,0.1,bad_event,0.0,0.0,50,0,0,0.0,0.0,0.0
two_tank,mlp_state_space,conservative_low_coverage_judge,0.1,bad_rmse_or_event,0.6,0.0,50,30,0,0.0,0.0,0.0
