system_id,model_id,scenario_type,judge_id,coverage,accepted_bad_count,mean_bad_rmse,median_bad_rmse,worst_bad_rmse,mean_support_distance,mean_uncertainty_score,mean_disagreement_score,mean_invariant_residual,mean_repair_amount
cstr,hold_last,combined_feed_and_cooling_shift,calibration_selected_candidate_ranker,0.05,5,4.838468238786502,4.829773583977884,4.945954005515249,10.18492317225315,5.717648576819558e-15,3.2654597498047635,0.2483819891029848,0.0
cstr,hold_last,combined_feed_and_cooling_shift,calibration_selected_candidate_ranker,0.1,10,4.883094694228482,4.870564216147283,5.070636636856579,10.20596543404769,5.717648576819558e-15,3.285297991510157,0.25302146346183935,0.0
cstr,hold_last,cooling_step_change,calibration_selected_candidate_ranker,0.05,5,2.5341271612394656,2.512840830411233,2.66582128784714,9.21753034366215,1.1102230246251566e-17,1.8855038256669903,0.05319916985865773,0.0
cstr,hold_last,cooling_step_change,calibration_selected_candidate_ranker,0.1,10,2.5116044543127116,2.512004134553136,2.6762198118777496,9.208534211258474,2.847722058163527e-15,1.8994993461200185,0.054358776508466745,0.0
cstr,hold_last,feed_concentration_spike,calibration_selected_candidate_ranker,0.05,5,2.4464899072406636,2.369106408358872,2.605506951717316,3.677729270105959,5.6843418860808026e-15,1.6427632014249434,0.1153223034542892,0.0
cstr,hold_last,feed_concentration_spike,calibration_selected_candidate_ranker,0.1,10,2.5392252546546685,2.4739725646932818,3.0161086684347294,3.8017551088621895,5.689893001203929e-15,1.6954903846507647,0.12352798419468144,0.0
cstr,hold_last,feed_temperature_spike,calibration_selected_candidate_ranker,0.05,5,2.23876199050594,2.1668053778598986,2.693877039131177,4.266521966971039,5.706546346573306e-15,1.5179223785816784,0.13206878023565943,0.0
cstr,hold_last,feed_temperature_spike,calibration_selected_candidate_ranker,0.1,10,2.355935309075012,2.264136622123651,2.819731379946356,4.299300543422734,2.8643754035329043e-15,1.5758655385629337,0.13615274313274797,0.0
cstr,hold_last,id,calibration_selected_candidate_ranker,0.05,5,1.6797844198411247,1.578488581102745,2.0981702907986213,1.9293436169431342,0.0,1.135485727130709,0.11872929189256003,0.0
cstr,hold_last,id,calibration_selected_candidate_ranker,0.1,10,1.9327589052800636,2.037343293692137,2.347748817785201,1.890429520728111,5.551115123125783e-18,1.2960813193070355,0.1307352508284392,0.0
cstr,hold_last,reaction_rate_shift,calibration_selected_candidate_ranker,0.05,5,1.5529904223298214,1.5792863060474722,1.833527740178517,9.967981377983552,1.706412788848866e-14,1.2996753578233105,0.10356743917262083,0.0
cstr,hold_last,reaction_rate_shift,calibration_selected_candidate_ranker,0.1,10,1.8989117103787039,2.002113781426766,2.31480820893812,10.028744482060324,8.543166174490581e-15,1.4036030384557174,0.11274785277256956,0.0
cstr,hold_last,unsafe_temperature_event,calibration_selected_candidate_ranker,0.05,5,10.358156794308512,10.337739829937558,10.727370523221468,25.866481498964994,1.1379786002407855e-14,6.075779316362145,0.5730500093100731,0.0
cstr,hold_last,unsafe_temperature_event,calibration_selected_candidate_ranker,0.1,10,10.37022442343043,10.305680256782075,10.727370523221468,25.845195820956093,5.695444116327053e-15,6.105270786205027,0.5799615697262589,0.0
cstr,linear_narx,unsafe_temperature_event,calibration_selected_candidate_ranker,0.05,5,1.0082878938943662,0.9992559879324808,1.033158835979831,25.7834629021903,0.01178968212242702,6.188050240892866,0.05156109068167034,0.0
cstr,linear_narx,unsafe_temperature_event,calibration_selected_candidate_ranker,0.1,10,1.0198281075188889,1.020450539341502,1.0514934666207552,25.7985058179632,0.01178968212243201,6.27422337482816,0.05261320011650985,0.0
cstr,mlp_state_space,combined_feed_and_cooling_shift,calibration_selected_candidate_ranker,0.05,5,1.3696309537941478,1.3813781783839425,1.4104741931092657,10.11595004234058,0.00236696416251726,3.3607259623108234,0.03368038393606228,0.0
cstr,mlp_state_space,combined_feed_and_cooling_shift,calibration_selected_candidate_ranker,0.1,10,1.3862365433198092,1.3911901449452606,1.447374845606052,10.122290447374603,0.00237538240138553,3.414608721969055,0.03455319455442413,0.0
cstr,mlp_state_space,cooling_step_change,calibration_selected_candidate_ranker,0.05,5,2.1116664350927694,2.105028012791123,2.1716752100573484,9.201953720024445,0.00245766471350844,1.5751655029304568,0.08033392888578804,0.0
cstr,mlp_state_space,cooling_step_change,calibration_selected_candidate_ranker,0.1,10,2.116972838815733,2.1092063956073175,2.225962968255037,9.15581151121162,0.00246141327790397,1.5646273584410624,0.08287020714383683,0.0
cstr,mlp_state_space,feed_concentration_spike,calibration_selected_candidate_ranker,0.05,5,0.39248745295003395,0.3909775333870998,0.418548313519015,3.9370187098412357,0.0023505758271511598,2.9645417196013577,0.00326079430817776,0.0
cstr,mlp_state_space,feed_concentration_spike,calibration_selected_candidate_ranker,0.1,10,0.39726326569406345,0.39763466310395085,0.418548313519015,3.8602016023375136,0.0023795184185613103,2.9177079154544754,0.00334496269323621,0.0
cstr,mlp_state_space,feed_temperature_spike,calibration_selected_candidate_ranker,0.05,5,0.22696156615383017,0.2275307480907614,0.2449642307343173,4.310678345320881,0.00253923687588404,1.4419225264225541,0.00567227376687064,0.0
cstr,mlp_state_space,feed_temperature_spike,calibration_selected_candidate_ranker,0.1,10,0.23870081899705503,0.2428354586430534,0.2697730671767587,4.208681203098289,0.00249529226782605,1.59060162546846,0.005907802892408319,0.0
cstr,mlp_state_space,reaction_rate_shift,calibration_selected_candidate_ranker,0.05,1,0.2211216368473403,0.2211216368473403,0.2211216368473403,9.976924065284935,0.0022605918304975,1.6664285798597438,0.0120551244791679,0.0
cstr,mlp_state_space,reaction_rate_shift,isotonic_calibrated_judge,0.1,2,0.2467863201965131,0.2467863201965131,0.2724510035456859,10.164330602493967,0.0022522611958912,1.974047741268126,0.01153368992803855,0.0
cstr,mlp_state_space,unsafe_temperature_event,calibration_selected_candidate_ranker,0.05,5,7.092868415997072,7.10410761536502,7.1483248035574825,25.75104672169702,0.0021099869064519204,6.12229519870351,0.3686844391116264,0.0
cstr,mlp_state_space,unsafe_temperature_event,calibration_selected_candidate_ranker,0.1,10,7.121856998010465,7.118728536617022,7.219607264312744,25.765578229993753,0.00210915259359361,6.189753073545598,0.3716553048008509,0.0
two_tank,hold_last,combined_intervention,calibration_selected_candidate_ranker,0.05,5,0.44807286323237133,0.4315353095498943,0.5421174393516817,14.49244683473113,8.881784197001253e-17,0.4693247674868298,0.0269359019488552,0.0
two_tank,hold_last,combined_intervention,calibration_selected_candidate_ranker,0.1,10,0.4530854783727557,0.42706098136892284,0.5710355632435242,14.523147825713258,6.661338147750939e-17,0.4762552222227793,0.02698965362273583,0.0
two_tank,hold_last,held_out_action_magnitude,calibration_selected_candidate_ranker,0.1,1,0.1583985621857436,0.1583985621857436,0.1583985621857436,15.18872215390818,0.0,0.3829488619396123,0.0061037095636567,0.0
two_tank,hold_last,inflow_spike,calibration_selected_candidate_ranker,0.05,5,0.3757543890061371,0.3672269746263942,0.4187242099544356,5.2563390677998445,8.881784197001253e-17,0.26138920756807005,0.01957062938808918,0.0
two_tank,hold_last,inflow_spike,calibration_selected_candidate_ranker,0.1,10,0.3780928564306742,0.3710087113838386,0.4407692922165413,5.276881814202187,8.881784197001253e-17,0.2634078715504572,0.01947905031305276,0.0
two_tank,hold_last,normal_policy,calibration_selected_candidate_ranker,0.1,1,0.154500171566276,0.154500171566276,0.154500171566276,1.6498119345412718,0.0,0.1044764289254829,0.0066895507125405,0.0
two_tank,hold_last,valve_or_pump_degradation,calibration_selected_candidate_ranker,0.1,1,0.1571895704639318,0.1571895704639318,0.1571895704639318,4.582435044812796,0.0,0.1032463807904292,0.0065517134242215,0.0
two_tank,linear_narx,combined_intervention,calibration_selected_candidate_ranker,0.05,5,0.3653991180153452,0.3677061643024332,0.3714204513016705,14.515132087375857,0.0068882148210015395,0.4553052233898155,2.026295130705285e-06,0.0
two_tank,linear_narx,combined_intervention,calibration_selected_candidate_ranker,0.1,10,0.3626342860278549,0.36613931118327725,0.3714963279119818,14.48760080385056,0.0068882148210016895,0.5013324852642967,2.0303480341249876e-06,0.0
two_tank,linear_narx,held_out_action_magnitude,calibration_selected_candidate_ranker,0.05,5,0.413528128408484,0.4155265606428286,0.4400734673863199,14.864736784046126,0.00688821482100174,0.452144641345923,3.2215456996079356e-07,0.0
two_tank,linear_narx,held_out_action_magnitude,calibration_selected_candidate_ranker,0.1,10,0.41254914536561865,0.4139037206716935,0.4471881783871499,14.916202611573107,0.00688821482100155,0.46967963245781297,3.3318754794828163e-07,0.0
two_tank,mlp_state_space,combined_intervention,calibration_selected_candidate_ranker,0.05,5,0.3296930203473415,0.3355337614221976,0.3456744879336257,14.4553243743856,0.00155478169728484,0.5049467809536623,0.0153109689240608,0.0
two_tank,mlp_state_space,combined_intervention,calibration_selected_candidate_ranker,0.1,10,0.33554958552485165,0.33940161049154155,0.3710650168594436,14.451396476688036,0.0015559280501751499,0.5207198604412796,0.015489711144681052,0.0
two_tank,mlp_state_space,held_out_action_magnitude,calibration_selected_candidate_ranker,0.05,5,0.2626799316405245,0.2685162128988816,0.2907578516387525,14.87567128378603,0.00161361602679858,0.42428039326101674,0.00196851956309782,0.0
two_tank,mlp_state_space,held_out_action_magnitude,calibration_selected_candidate_ranker,0.1,10,0.2582666355694018,0.26314922442902655,0.2907578516387525,14.927456789429673,0.00161407100232666,0.4466456066910188,0.00197262900389037,0.0
two_tank,mlp_state_space,inflow_spike,calibration_selected_candidate_ranker,0.05,5,0.1795940995624877,0.1798592281267702,0.1836264772542669,5.264683257472523,0.00157797341375892,0.25474544415942885,0.00898123771044054,0.0
two_tank,mlp_state_space,inflow_spike,calibration_selected_candidate_ranker,0.1,10,0.18063174019857603,0.1802448236768309,0.1858087814446639,5.262246418802862,0.0015783651838967999,0.269591429645607,0.0090452772212652,0.0
