system_id,badness_target,judge_or_signal,auc,bad_rate,unique_scores
cstr,bad_event,oracle_error_rank,1.0,0.08228571428571428,2
cstr,bad_event,learned_error_classifier,0.7603442386190674,0.08228571428571428,3500
cstr,bad_event,logistic_calibrated_judge,0.7603442386190674,0.08228571428571428,3500
cstr,bad_event,rank_normalized_linear,0.7352868366888058,0.08228571428571428,1083
cstr,bad_event,invariant_only,0.7102034903832849,0.08228571428571428,3500
cstr,bad_event,support_only,0.7057605161201053,0.08228571428571428,700
cstr,bad_event,conservative_low_coverage_judge,0.6994052251971773,0.08228571428571428,3496
cstr,bad_event,uncertainty_only,0.6717636553895117,0.08228571428571428,2489
cstr,bad_event,conformal_threshold,0.6081934499100595,0.08228571428571428,2380
cstr,bad_event,best_single_signal_selected_on_calibration,0.5891794658917947,0.08228571428571428,869
cstr,bad_event,calibration_selected_candidate_ranker,0.5891794658917947,0.08228571428571428,869
cstr,bad_event,quantile_rule_judge,0.5891794658917947,0.08228571428571428,869
cstr,bad_event,disagreement_only,0.5849083731147087,0.08228571428571428,700
cstr,bad_event,ensemble_disagreement_threshold,0.5849083731147087,0.08228571428571428,700
cstr,bad_event,isotonic_calibrated_judge,0.5367496670471841,0.08228571428571428,220
cstr,bad_event,random_baseline,0.5195382766016328,0.08228571428571428,3500
cstr,bad_event,repair_only,,0.08228571428571428,1
cstr,bad_rmse,oracle_error_rank,0.9730665487003417,0.6357619047619048,3500
cstr,bad_rmse,learned_error_classifier,0.9696836128004365,0.6357619047619048,21000
cstr,bad_rmse,logistic_calibrated_judge,0.9696836128004365,0.6357619047619048,21000
cstr,bad_rmse,invariant_only,0.9531948658679623,0.6357619047619048,3500
cstr,bad_rmse,conformal_threshold,0.9531948658679623,0.6357619047619048,3500
cstr,bad_rmse,best_single_signal_selected_on_calibration,0.9531948658679623,0.6357619047619048,3500
cstr,bad_rmse,calibration_selected_candidate_ranker,0.9531948658679623,0.6357619047619048,3500
cstr,bad_rmse,quantile_rule_judge,0.9531948658679623,0.6357619047619048,3500
cstr,bad_rmse,isotonic_calibrated_judge,0.9514731570680615,0.6357619047619048,281
cstr,bad_rmse,conservative_low_coverage_judge,0.8498151359436981,0.6357619047619048,3496
cstr,bad_rmse,rank_normalized_linear,0.8360139591743777,0.6357619047619048,1184
cstr,bad_rmse,disagreement_only,0.74406312113636,0.6357619047619048,700
cstr,bad_rmse,ensemble_disagreement_threshold,0.74406312113636,0.6357619047619048,700
cstr,bad_rmse,support_only,0.7302684170301387,0.6357619047619048,700
cstr,bad_rmse,random_baseline,0.505368853715552,0.6357619047619048,3500
cstr,bad_rmse,uncertainty_only,0.46653898547165235,0.6357619047619048,2489
cstr,bad_rmse,repair_only,,0.6357619047619048,1
cstr,bad_rmse_or_event,oracle_error_rank,1.0,0.6488571428571429,2
cstr,bad_rmse_or_event,learned_error_classifier,0.9646452196898104,0.6488571428571429,21000
cstr,bad_rmse_or_event,logistic_calibrated_judge,0.9646452196898104,0.6488571428571429,21000
cstr,bad_rmse_or_event,invariant_only,0.955518556457125,0.6488571428571429,3500
cstr,bad_rmse_or_event,conformal_threshold,0.955518556457125,0.6488571428571429,3500
cstr,bad_rmse_or_event,best_single_signal_selected_on_calibration,0.955518556457125,0.6488571428571429,3500
cstr,bad_rmse_or_event,calibration_selected_candidate_ranker,0.955518556457125,0.6488571428571429,3500
cstr,bad_rmse_or_event,quantile_rule_judge,0.955518556457125,0.6488571428571429,3500
cstr,bad_rmse_or_event,isotonic_calibrated_judge,0.9540333077874742,0.6488571428571429,281
cstr,bad_rmse_or_event,conservative_low_coverage_judge,0.8437759646069825,0.6488571428571429,3496
cstr,bad_rmse_or_event,rank_normalized_linear,0.8320853701448487,0.6488571428571429,1184
cstr,bad_rmse_or_event,support_only,0.7294795034190724,0.6488571428571429,700
cstr,bad_rmse_or_event,disagreement_only,0.7256712117754109,0.6488571428571429,700
cstr,bad_rmse_or_event,ensemble_disagreement_threshold,0.7256712117754109,0.6488571428571429,700
cstr,bad_rmse_or_event,random_baseline,0.5072567437664341,0.6488571428571429,3500
cstr,bad_rmse_or_event,uncertainty_only,0.47367701650162175,0.6488571428571429,2489
cstr,bad_rmse_or_event,repair_only,,0.6488571428571429,1
heat_exchanger,bad_event,oracle_error_rank,1.0,0.22,2
heat_exchanger,bad_event,learned_error_classifier,0.8838899196042054,0.22,3500
heat_exchanger,bad_event,logistic_calibrated_judge,0.8838899196042054,0.22,3500
heat_exchanger,bad_event,isotonic_calibrated_judge,0.853825222396651,0.22,281
heat_exchanger,bad_event,invariant_only,0.8321806764663907,0.22,3500
heat_exchanger,bad_event,conformal_threshold,0.8321806764663907,0.22,3500
heat_exchanger,bad_event,rank_normalized_linear,0.8180683602112173,0.22,1057
heat_exchanger,bad_event,best_single_signal_selected_on_calibration,0.6998380191237334,0.22,3211
heat_exchanger,bad_event,quantile_rule_judge,0.6998380191237334,0.22,3211
heat_exchanger,bad_event,calibration_selected_candidate_ranker,0.6947369297369298,0.22,3142
heat_exchanger,bad_event,conservative_low_coverage_judge,0.6426992055563485,0.22,3495
heat_exchanger,bad_event,disagreement_only,0.5146591503734361,0.22,700
heat_exchanger,bad_event,ensemble_disagreement_threshold,0.5146591503734361,0.22,700
heat_exchanger,bad_event,random_baseline,0.500724037866895,0.22,3500
heat_exchanger,bad_event,support_only,0.49924123495552064,0.22,700
heat_exchanger,bad_event,uncertainty_only,0.14011107939679368,0.22,2481
heat_exchanger,bad_event,repair_only,,0.22,1
heat_exchanger,bad_rmse,oracle_error_rank,0.9916955122590685,0.7078571428571429,3500
heat_exchanger,bad_rmse,invariant_only,0.9901028901515432,0.7078571428571429,3500
heat_exchanger,bad_rmse,conformal_threshold,0.9901028901515432,0.7078571428571429,3500
heat_exchanger,bad_rmse,best_single_signal_selected_on_calibration,0.9901028901515432,0.7078571428571429,3500
heat_exchanger,bad_rmse,calibration_selected_candidate_ranker,0.9901028901515432,0.7078571428571429,3500
heat_exchanger,bad_rmse,quantile_rule_judge,0.9901028901515432,0.7078571428571429,3500
heat_exchanger,bad_rmse,isotonic_calibrated_judge,0.989816630028858,0.7078571428571429,281
heat_exchanger,bad_rmse,learned_error_classifier,0.9897134136596388,0.7078571428571429,19599
heat_exchanger,bad_rmse,logistic_calibrated_judge,0.9897134136596388,0.7078571428571429,19599
heat_exchanger,bad_rmse,rank_normalized_linear,0.874410345102664,0.7078571428571429,1171
heat_exchanger,bad_rmse,conservative_low_coverage_judge,0.8552987811246615,0.7078571428571429,3495
heat_exchanger,bad_rmse,support_only,0.7007411446292922,0.7078571428571429,700
heat_exchanger,bad_rmse,disagreement_only,0.6632783067164382,0.7078571428571429,700
heat_exchanger,bad_rmse,ensemble_disagreement_threshold,0.6632783067164382,0.7078571428571429,700
heat_exchanger,bad_rmse,uncertainty_only,0.6107443766514771,0.7078571428571429,2481
heat_exchanger,bad_rmse,random_baseline,0.5082611802884477,0.7078571428571429,3500
heat_exchanger,bad_rmse,repair_only,,0.7078571428571429,1
heat_exchanger,bad_rmse_or_event,oracle_error_rank,1.0,0.7156190476190476,2
heat_exchanger,bad_rmse_or_event,invariant_only,0.9890001267560211,0.7156190476190476,3500
heat_exchanger,bad_rmse_or_event,conformal_threshold,0.9890001267560211,0.7156190476190476,3500
heat_exchanger,bad_rmse_or_event,best_single_signal_selected_on_calibration,0.9890001267560211,0.7156190476190476,3500
heat_exchanger,bad_rmse_or_event,quantile_rule_judge,0.9890001267560211,0.7156190476190476,3500
heat_exchanger,bad_rmse_or_event,isotonic_calibrated_judge,0.9886323604734435,0.7156190476190476,281
heat_exchanger,bad_rmse_or_event,learned_error_classifier,0.9871068089733278,0.7156190476190476,19250
heat_exchanger,bad_rmse_or_event,logistic_calibrated_judge,0.9871068089733278,0.7156190476190476,19250
heat_exchanger,bad_rmse_or_event,calibration_selected_candidate_ranker,0.9804363847899192,0.7156190476190476,3850
heat_exchanger,bad_rmse_or_event,rank_normalized_linear,0.8704778652966795,0.7156190476190476,1171
heat_exchanger,bad_rmse_or_event,conservative_low_coverage_judge,0.8503987689155728,0.7156190476190476,3495
heat_exchanger,bad_rmse_or_event,support_only,0.6924177792879948,0.7156190476190476,700
heat_exchanger,bad_rmse_or_event,disagreement_only,0.6587936722182001,0.7156190476190476,700
heat_exchanger,bad_rmse_or_event,ensemble_disagreement_threshold,0.6587936722182001,0.7156190476190476,700
heat_exchanger,bad_rmse_or_event,uncertainty_only,0.6171158780011627,0.7156190476190476,2481
heat_exchanger,bad_rmse_or_event,random_baseline,0.506850641472823,0.7156190476190476,3500
heat_exchanger,bad_rmse_or_event,repair_only,,0.7156190476190476,1
two_tank,bad_event,support_only,,0.0,500
two_tank,bad_event,uncertainty_only,,0.0,1569
two_tank,bad_event,disagreement_only,,0.0,500
two_tank,bad_event,invariant_only,,0.0,2500
two_tank,bad_event,repair_only,,0.0,1
two_tank,bad_event,random_baseline,,0.0,2500
two_tank,bad_event,learned_error_classifier,,0.0,1
two_tank,bad_event,conformal_threshold,,0.0,500
two_tank,bad_event,ensemble_disagreement_threshold,,0.0,500
two_tank,bad_event,best_single_signal_selected_on_calibration,,0.0,1
two_tank,bad_event,calibration_selected_candidate_ranker,,0.0,1
two_tank,bad_event,rank_normalized_linear,,0.0,794
two_tank,bad_event,logistic_calibrated_judge,,0.0,794
two_tank,bad_event,isotonic_calibrated_judge,,0.0,1
two_tank,bad_event,quantile_rule_judge,,0.0,1
two_tank,bad_event,conservative_low_coverage_judge,,0.0,2498
two_tank,bad_event,oracle_error_rank,,0.0,1
two_tank,bad_rmse,learned_error_classifier,0.9053144712936045,0.4266666666666667,14750
two_tank,bad_rmse,logistic_calibrated_judge,0.9053144712936045,0.4266666666666667,14750
two_tank,bad_rmse,oracle_error_rank,0.8861706395348837,0.4266666666666667,2500
two_tank,bad_rmse,calibration_selected_candidate_ranker,0.8710109102470931,0.4266666666666667,8383
two_tank,bad_rmse,rank_normalized_linear,0.7717092569040697,0.4266666666666667,937
two_tank,bad_rmse,conservative_low_coverage_judge,0.7471756359011628,0.4266666666666667,2498
two_tank,bad_rmse,support_only,0.7320039970930232,0.4266666666666667,500
two_tank,bad_rmse,invariant_only,0.7304192950581394,0.4266666666666667,2500
two_tank,bad_rmse,isotonic_calibrated_judge,0.7209277979651163,0.4266666666666667,200
two_tank,bad_rmse,disagreement_only,0.704579941860465,0.4266666666666667,500
two_tank,bad_rmse,ensemble_disagreement_threshold,0.704579941860465,0.4266666666666667,500
two_tank,bad_rmse,conformal_threshold,0.638091042877907,0.4266666666666667,1701
two_tank,bad_rmse,best_single_signal_selected_on_calibration,0.615791351744186,0.4266666666666667,3106
two_tank,bad_rmse,quantile_rule_judge,0.615791351744186,0.4266666666666667,3106
two_tank,bad_rmse,random_baseline,0.4988291061046512,0.4266666666666667,2500
two_tank,bad_rmse,uncertainty_only,0.41044792877906977,0.4266666666666667,1569
two_tank,bad_rmse,repair_only,,0.4266666666666667,1
two_tank,bad_rmse_or_event,oracle_error_rank,1.0,0.4266666666666667,2
two_tank,bad_rmse_or_event,learned_error_classifier,0.9053144712936045,0.4266666666666667,14750
two_tank,bad_rmse_or_event,logistic_calibrated_judge,0.9053144712936045,0.4266666666666667,14750
two_tank,bad_rmse_or_event,calibration_selected_candidate_ranker,0.8710109102470931,0.4266666666666667,8383
two_tank,bad_rmse_or_event,rank_normalized_linear,0.7717092569040697,0.4266666666666667,937
two_tank,bad_rmse_or_event,conservative_low_coverage_judge,0.7471756359011628,0.4266666666666667,2498
two_tank,bad_rmse_or_event,support_only,0.7320039970930232,0.4266666666666667,500
two_tank,bad_rmse_or_event,invariant_only,0.7304192950581394,0.4266666666666667,2500
two_tank,bad_rmse_or_event,isotonic_calibrated_judge,0.7209277979651163,0.4266666666666667,200
two_tank,bad_rmse_or_event,disagreement_only,0.704579941860465,0.4266666666666667,500
two_tank,bad_rmse_or_event,ensemble_disagreement_threshold,0.704579941860465,0.4266666666666667,500
two_tank,bad_rmse_or_event,best_single_signal_selected_on_calibration,0.615791351744186,0.4266666666666667,3106
two_tank,bad_rmse_or_event,quantile_rule_judge,0.615791351744186,0.4266666666666667,3106
two_tank,bad_rmse_or_event,conformal_threshold,0.5230764625726745,0.4266666666666667,1851
two_tank,bad_rmse_or_event,random_baseline,0.4988291061046512,0.4266666666666667,2500
two_tank,bad_rmse_or_event,uncertainty_only,0.41044792877906977,0.4266666666666667,1569
two_tank,bad_rmse_or_event,repair_only,,0.4266666666666667,1
